controller,minute,zone_c,measurement_c,setpoint_c,outdoor_c,internal_load_w,command_pct,requested_command_pct,kp,ki,inference_us,fallback_active
Bayesian Auto-tune,100.0,25.381409674505587,25.197357699730244,24.5,34.69459271066772,1650.0,45.0,46.492448079978,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,101.0,25.444485200710098,25.275236633261212,24.5,34.711774181895365,1650.0,50.0,51.155034751266506,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,102.0,25.500826608857736,25.311509687449597,24.5,34.72894210196859,1650.0,54.0,53.612497383291135,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,103.0,25.55154242909713,25.371423586219418,24.5,34.74609614403494,1650.0,57.00000000000001,57.37402581291573,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,104.0,25.5969360974424,25.447156627535602,24.5,34.76323598150618,1650.0,62.0,62.03077811096003,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,105.0,25.636332918065524,25.50070476382416,24.5,34.78036128806451,1650.0,66.0,65.53342848899187,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,106.0,25.669488362605513,25.532588904395634,24.5,34.797471737668786,1650.0,68.0,67.896127348408,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,107.0,25.69620464078634,25.57082240046607,24.5,34.81456700456071,1650.0,71.0,70.62311600240245,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,108.0,25.716012675988182,25.641257439642175,24.5,34.83164676327104,1650.0,75.0,75.11930149637564,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,109.0,25.728528985446054,25.653456332384255,24.5,34.848710688625786,1650.0,77.0,76.50447881616891,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,110.0,25.73375158071294,25.686752919348695,24.5,34.86575845575241,1650.0,79.0,79.04063831612724,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,111.0,25.731994855256822,25.730411750806823,24.5,34.882789740086004,1650.0,82.0,82.15943424848363,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,112.0,25.722904719697286,25.731326550209047,24.5,34.89980421737546,1650.0,83.0,82.98971879312177,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,113.0,25.706503590142503,25.723271024908193,24.5,34.91680156368965,1650.0,83.0,83.33449985346134,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,114.0,25.68343631180077,25.706407703562647,24.5,34.93378145542362,1650.0,83.0,83.196892736134,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,115.0,25.65393279457647,25.68130351025075,24.5,34.95074356930469,1650.0,83.0,82.6020292526858,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,116.0,25.61787864708283,25.6817737518655,24.5,34.967687582398675,1650.0,83.0,83.37706423806853,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,117.0,25.575804643012955,25.66374987365351,24.5,34.98461317211597,1650.0,83.0,83.15023826972501,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,118.0,25.528155771822334,25.664445650362907,24.5,35.00152001621777,1650.0,84.0,83.92635652341403,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,119.0,25.474995318246666,25.608717184748823,24.5,35.01840779282211,1650.0,82.0,81.64539952572545,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,120.0,25.41700057053263,25.57617854621236,23.8,35.03527618041008,1650.0,87.0,100.0,0.5355348409080782,0.006345139307458152,0.0,0
