algorithm,ordinal,repeat_seed,scenario_index,objective,rmse_c,max_undershoot_c,failed_checks,load_ratio,window_left_h,cause
safe-bo,35,307,3,65.72225429516176,1.2675266502983145,2.32649455963395,comfort_held+recovery_ok,0.174,1.0,tuning
fnn,35,307,3,65.72225429516176,1.2675266502983145,2.32649455963395,comfort_held+recovery_ok,0.174,1.0,tuning
rl,35,307,3,60.146726713921375,1.1915095276387777,1.9097366038734762,comfort_held+recovery_ok,0.174,1.0,tuning
llm,35,307,3,65.72225429516176,1.2675266502983145,2.32649455963395,comfort_held+recovery_ok,0.174,1.0,tuning
zn,36,307,4,87.07673597629147,1.679796347806556,2.374606625669948,comfort_held+recovery_ok,0.157,1.0,tuning
imc,36,307,4,58.19827668310062,1.425362919918909,1.8651503622949654,comfort_held+recovery_ok,0.157,1.0,tuning
bo,36,307,4,71.96589816523502,1.5291546322579854,2.0218057971981303,comfort_held+recovery_ok,0.157,1.0,tuning
safe-bo,36,307,4,58.19827668310062,1.425362919918909,1.8651503622949654,comfort_held+recovery_ok,0.157,1.0,tuning
fnn,36,307,4,58.19827668310062,1.425362919918909,1.8651503622949654,comfort_held+recovery_ok,0.157,1.0,tuning
llm,36,307,4,58.19827668310062,1.425362919918909,1.8651503622949654,comfort_held+recovery_ok,0.157,1.0,tuning
zn,37,307,5,68.61743770827019,1.226884625509181,1.9475369097144046,comfort_held+recovery_ok,0.468,1.0,tuning
bo,37,307,5,58.998147599174246,1.113574162737443,1.555439617483902,comfort_held+recovery_ok,0.468,1.0,tuning
rl,37,307,5,54.04802220098559,1.0411698930083835,1.5847969239513482,comfort_held+recovery_ok,0.468,1.0,tuning
zn,38,307,6,47.8776399329541,1.2107677042261287,0.9479851065262643,comfort_held+recovery_ok,0.241,1.0,tuning
zn,39,307,7,33.35617548880843,0.763256984184907,1.0283283771519507,comfort_held+recovery_ok,0.494,1.0,tuning
