episode,return,iae,kp,ki,gradient,gradient_kp,gradient_ki,gradient_logits,logits,noise,noise_std,noise_mean,noise_l2,steps,status
40,-69.44694263449668,69.44694263449668,0.49475396489056916,0.02655820379209239,"[3613.6239655881313, -32129.336316066234]",3613.6239655881313,-32129.336316066234,"[2204.077866214094, -1641.4808698051204]","[0.7722873224128023, 0.642734242345123]","{'std': 0.1, 'mean': 0.001410814578107779, 'sample_std': 0.10251578761411079, 'l2': 3.5515873253375494, 'first': 0.04624435278292861, 'last': 0.017502807210445958, 'samples': 1200}",0.1,0.001410814578107779,3.5515873253375494,1200,updated
41,-71.07942575884175,71.07942575884175,0.5083253769168209,0.025730617956458524,"[1019.126900194855, -90276.592071274]",1019.126900194855,-90276.592071274,"[633.4267650270941, -4491.066756391108]","[0.7943281010749432, 0.6263194336470718]","{'std': 0.1, 'mean': 0.0004443019534288247, 'sample_std': 0.10157924059830356, 'l2': 3.518841773894449, 'first': 0.19383933085016433, 'last': 0.13460419488472705, 'samples': 1200}",0.1,0.0004443019534288247,3.518841773894449,1200,updated
42,-73.88499472012937,73.88499472012937,0.5122729031785167,0.0235769659119977,"[1133.5010174220347, 88641.36891837613]",1133.5010174220347,88641.36891837613,"[708.2839271670454, 4094.1584668469645]","[0.8006623687252141, 0.5814087660831607]","{'std': 0.1, 'mean': -0.004930152741260541, 'sample_std': 0.0989613643405536, 'l2': 3.432373762549053, 'first': -0.10982364201673694, 'last': -0.007212171581645652, 'samples': 1200}",0.1,-0.004930152741260541,3.432373762549053,1200,updated
43,-71.44810159239441,71.44810159239441,0.5167118659944095,0.025533802522228644,"[698.137641777901, -34274.80353616388]",698.137641777901,-34274.80353616388,"[438.8330350546838, -1694.0876734147691]","[0.8077452079968845, 0.6223503507516304]","{'std': 0.1, 'mean': 0.002280815178800145, 'sample_std': 0.09830441415410772, 'l2': 3.4062812497024693, 'first': -0.04709724002122595, 'last': -0.015874572647300727, 'samples': 1200}",0.1,0.002280815178800145,3.4062812497024693,1200,updated
44,-72.35854855524035,72.35854855524035,0.5194753093728182,0.024707997498898654,"[-8004.736808114723, 37130.096998164314]",-8004.736808114723,37130.096998164314,"[-5049.979157039331, 1784.8385927376028]","[0.8121335383474314, 0.6054094740174827]","{'std': 0.1, 'mean': -0.0007854217284734259, 'sample_std': 0.10053616508502461, 'l2': 3.482781195072963, 'first': 0.02172751182955046, 'last': 0.021224758400723763, 'samples': 1200}",0.1,-0.0007854217284734259,3.482781195072963,1200,updated
45,-70.11191003574179,70.11191003574179,0.4882859191556583,0.025578690905650573,"[1437.5289075482638, -41095.61662414701]",1437.5289075482638,-41095.61662414701,"[868.7155860496994, -2034.2312217040928]","[0.7616337467770381, 0.6232578599448587]","{'std': 0.1, 'mean': 0.0023761883108503984, 'sample_std': 0.09695735328430743, 'l2': 3.3597097422461886, 'first': -0.02640728633910085, 'last': -0.0063961429084669515, 'samples': 1200}",0.1,0.0023761883108503984,3.3597097422461886,1200,updated
46,-71.71697976639,71.71697976639,0.49355559537756627,0.024588361514392858,"[-3071.715563391323, 28837.896661419243]",-3071.715563391323,28837.896661419243,"[-1870.3621599655316, 1380.5306982939003]","[0.770320902637535, 0.6029155477278177]","{'std': 0.1, 'mean': -0.0019153850918604465, 'sample_std': 0.09757360332695081, 'l2': 3.3806999452045905, 'first': 0.14077156289161738, 'last': -0.03555044518370027, 'samples': 1200}",0.1,-0.0019153850918604465,3.3806999452045905,1200,updated
47,-70.68850431452775,70.68850431452775,0.4822593645879783,0.02525683307997748,"[-2721.0873595860135, -86207.41072136752]",-2721.0873595860135,-86207.41072136752,"[-1629.976758717039, -4221.851153331211]","[0.7516172810378797, 0.6167208547107568]","{'std': 0.1, 'mean': 0.0009648744510278077, 'sample_std': 0.10136552427738944, 'l2': 3.5115638387595247, 'first': -0.029991141907141312, 'last': -0.11828041829348686, 'samples': 1200}",0.1,0.0009648744510278077,3.5115638387595247,1200,updated
48,-71.98068024319879,71.98068024319879,0.47256583971999744,0.02325981466723416,"[-7288.757030601368, -92171.63261906564]",-7288.757030601368,-92171.63261906564,"[-4303.1912002130675, -4208.111378279042]","[0.7353175134507093, 0.5745023431774446]","{'std': 0.1, 'mean': 0.004370656200735959, 'sample_std': 0.09994334258951257, 'l2': 3.465447912796793, 'first': -0.022316249286797304, 'last': -0.031273389713014826, 'samples': 1200}",0.1,0.004370656200735959,3.465447912796793,1200,updated
49,-74.5747944576309,74.5747944576309,0.4476512763292894,0.021405597323455032,"[515.9941734433085, 90976.89413385322]",515.9941734433085,90976.89413385322,"[292.8597721186657, 3866.1094367124942]","[0.6922856014485786, 0.5324212293946542]","{'std': 0.1, 'mean': -0.0024149827858886376, 'sample_std': 0.10006058582569043, 'l2': 3.467209767689835, 'first': 0.09686948429174684, 'last': -0.18020757687199765, 'samples': 1200}",0.1,-0.0024149827858886376,3.467209767689835,1200,updated
