episode,decision,learning_scenario,state_error_bin,state_delta_bin,state_command_bin,error_c,error_rate_c_per_min,action,target_kp_scale,target_ki_scale,applied_kp,applied_ki,reward,next_error_bin,next_delta_bin,next_command_bin,next_error_c,next_error_rate_c_per_min,td_error
2.0,42.0,38.0,2.0,2.0,1.0,0.05255099542749875,-0.010352913691063748,4.0,1.0,1.0,0.45082372186615355,0.0030404232333779892,-0.08651517840420107,2.0,2.0,1.0,0.04190075762206291,-0.002130047561087167,-0.058915342733052656
2.0,43.0,38.0,2.0,2.0,1.0,0.04190075762206291,-0.002130047561087167,0.0,0.75,0.75,0.4057413496795382,0.0027363809100401904,-0.053597848110982685,2.0,2.0,1.0,0.02212531189431033,-0.003955089145550516,-0.024348539747372888
2.0,44.0,38.0,2.0,2.0,1.0,0.02212531189431033,-0.003955089145550516,7.0,1.3,1.0,0.44631548464749204,0.0030100190010442095,-0.09213528596977497,2.0,2.0,1.0,0.04894016102667109,0.005362969826472152,-0.07113293504837015
2.0,45.0,38.0,2.0,2.0,1.0,0.04894016102667109,0.005362969826472152,3.0,1.0,0.75,0.45082372186615355,0.0027090171009397884,-0.05505377677015805,2.0,2.0,1.0,-0.009396367805599937,-0.011667305766454205,-0.03397070158710125
2.0,46.0,38.0,2.0,2.0,1.0,-0.009396367805599937,-0.011667305766454205,1.0,0.75,1.0,0.4057413496795382,0.0029799188110337673,-0.03968518616230224,2.0,2.0,1.0,0.01791340533199559,0.005461954627519106,-0.018565255851399398
2.0,47.0,38.0,2.0,2.0,1.0,0.01791340533199559,0.005461954627519106,6.0,1.3,0.75,0.44631548464749204,0.0026819269299303908,-0.06447323514468442,2.0,2.0,1.0,0.07951169567268224,0.01231965806813733,-0.04329366458784267
2.0,48.0,38.0,2.0,2.0,1.0,0.07951169567268224,0.01231965806813733,1.0,0.75,1.0,0.40168393618274284,0.00295011962292343,-0.04614325837592427,2.0,2.0,1.0,0.009403087923473663,-0.014021721549841715,0.30808341084129026
3.0,1.0,30.0,4.0,2.0,0.0,8.581007502659112,0.0,4.0,1.0,1.0,0.45082372186615355,0.003076518486521097,-21.014120801765536,4.0,3.0,1.0,8.786735050303093,0.041145509528796254,-21.014120861765537
3.0,2.0,30.0,4.0,3.0,1.0,8.786735050303093,0.041145509528796254,2.0,0.75,1.3,0.4057413496795382,0.003384170335173207,-21.712248033025663,4.0,3.0,2.0,9.08558213796939,0.05976941753325917,-21.712247093025663
3.0,3.0,30.0,4.0,3.0,2.0,9.08558213796939,0.05976941753325917,4.0,1.0,1.0,0.44631548464749204,0.003076518486521097,-22.10998656004748,4.0,2.0,2.0,9.07830717167436,-0.0014549932590057324,-22.109986620047483
3.0,4.0,30.0,4.0,2.0,2.0,9.07830717167436,-0.0014549932590057324,4.0,1.0,1.0,0.45082372186615355,0.003076518486521097,-21.295585447908174,4.0,1.0,2.0,8.55126677797648,-0.10540807873957618,-21.295585507908175
3.0,5.0,30.0,4.0,1.0,2.0,8.55126677797648,-0.10540807873957618,4.0,1.0,1.0,0.45082372186615355,0.003076518486521097,-19.12534831765614,4.0,0.0,2.0,7.476261261182302,-0.21500110335883563,-19.12534837765614
3.0,6.0,30.0,4.0,0.0,2.0,7.476261261182302,-0.21500110335883563,4.0,1.0,1.0,0.45082372186615355,0.003076518486521097,-15.792762124991691,4.0,0.0,2.0,5.998885516617264,-0.2954751489130075,-15.792762184991691
3.0,7.0,30.0,4.0,0.0,2.0,5.998885516617264,-0.2954751489130075,7.0,1.3,1.0,0.4959060940527689,0.003076518486521097,-11.8553018006441,4.0,0.0,2.0,4.376389611861171,-0.3244991809512186,-11.8553018006441
3.0,8.0,30.0,4.0,0.0,2.0,4.376389611861171,-0.3244991809512186,5.0,1.0,1.3,0.45082372186615355,0.003384170335173207,-7.768501480680992,4.0,0.0,2.0,2.743437327480901,-0.326590456876054,-7.768501480680992
3.0,9.0,30.0,4.0,0.0,2.0,2.743437327480901,-0.326590456876054,6.0,1.3,0.75,0.4959060940527689,0.0030457533016558865,-3.7489347032222713,3.0,0.0,2.0,1.1563370184779203,-0.3174200618005962,-3.7489337632222712
3.0,10.0,30.0,3.0,0.0,2.0,1.1563370184779203,-0.3174200618005962,4.0,1.0,1.0,0.45082372186615355,0.003076518486521097,-0.5814455697364204,2.0,0.0,0.0,-0.3707421238242681,-0.3054158284604377,-0.5814456297364204
3.0,11.0,30.0,2.0,0.0,0.0,-0.3707421238242681,-0.3054158284604377,4.0,1.0,1.0,0.45082372186615355,0.003076518486521097,-2.3402975617840873,1.0,0.0,0.0,-1.8027816363626812,-0.2864079025076826,-2.3402976217840874
3.0,12.0,30.0,1.0,0.0,0.0,-1.8027816363626812,-0.2864079025076826,4.0,1.0,1.0,0.45082372186615355,0.003076518486521097,-5.575596335930612,0.0,0.0,0.0,-2.914075679531031,-0.22225880863366995,-5.575596395930613
