episode,environment_steps,epsilon,episode_reward,moving_average_reward_20,mean_abs_td_error,visited_states,state_coverage_pct,visited_full_states,full_state_coverage_pct,greedy_policy_changes,mean_kp,mean_ki,final_kp,final_ki,validation_baseline_objective,validation_learned_objective,deployment_accepted,checkpoint_validation_objective,best_checkpoint_validation_objective,fit_scenarios,validation_scenarios
90.0,21600.0,0.22033333333333333,-51.98672769101128,-112.77308420386507,1.1499110601473472,24.0,96.0,40.0,53.333333333333336,6.0,0.4503601837243399,0.0029621328241567564,0.4530187700494494,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
91.0,21840.0,0.22,-252.45154284961944,-121.88982910832381,5.281512169515107,24.0,96.0,41.0,54.666666666666664,8.0,0.43182395072307006,0.0028576337263383662,0.44631548464749204,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
92.0,22080.0,0.21966666666666668,-32.51010279970543,-121.87704351574038,1.012665272872554,24.0,96.0,41.0,54.666666666666664,2.0,0.41912261586473604,0.002746397926044032,0.3719295705395767,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
93.0,22320.0,0.21933333333333332,-283.6138334038518,-134.1943723015674,5.799765647226116,24.0,96.0,41.0,54.666666666666664,7.0,0.43821041702102637,0.002931176506199453,0.4057413496795382,0.0035696447437373515,nan,nan,nan,nan,45.40959875900515,38.0,10.0
94.0,22560.0,0.219,-214.8991437910365,-139.17610175129337,4.606606513509859,24.0,96.0,41.0,54.666666666666664,10.0,0.48785497094575786,0.0029676008455803344,0.5016127822917088,0.0032395739663067156,nan,nan,nan,nan,45.40959875900515,38.0,10.0
95.0,22800.0,0.21866666666666668,-92.62603887455606,-141.85634383071778,2.5419625708895794,24.0,96.0,41.0,54.666666666666664,1.0,0.44824135702418894,0.0027922249243733793,0.5353858191493492,0.003612022801253052,nan,nan,nan,nan,45.40959875900515,38.0,10.0
96.0,23040.0,0.21833333333333332,-67.03553727107163,-141.53215968335343,1.7490521281860076,24.0,96.0,41.0,54.666666666666664,5.0,0.5262962412422666,0.002901414655306777,0.5860708384259996,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
97.0,23280.0,0.218,-159.84596807376056,-144.14660198246526,3.972167871264368,24.0,96.0,41.0,54.666666666666664,6.0,0.4601885292043979,0.0028324470963469787,0.4560116202651898,0.0029501196229234305,nan,nan,nan,nan,45.40959875900515,38.0,10.0
98.0,23520.0,0.21766666666666667,-57.8807723208855,-142.97347611540647,1.5544048752214048,25.0,100.0,42.0,56.00000000000001,3.0,0.4699960984360005,0.0029463762815430555,0.45082372186615355,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
99.0,23760.0,0.21733333333333332,-157.56809387078968,-141.78832351296654,3.8923395912017056,25.0,100.0,43.0,57.333333333333336,7.0,0.4723390118144379,0.002841996635988027,0.45082372186615355,0.0030457533016558865,nan,nan,nan,nan,45.40959875900515,38.0,10.0
100.0,24000.0,0.217,-97.59959944592369,-140.41124625430888,2.3611829505292348,25.0,100.0,43.0,57.333333333333336,1.0,0.4462904507138936,0.002824624737491135,0.5860708384259996,0.002491979974082089,nan,nan,nan,44.98215017950554,44.98215017950554,38.0,10.0
101.0,24240.0,0.21666666666666667,-147.50262547460704,-141.57842503200476,3.4733335663519447,25.0,100.0,43.0,57.333333333333336,3.0,0.44300090085693933,0.002742825671469303,0.4050313023175991,0.0023073888648908226,nan,nan,nan,nan,44.98215017950554,38.0,10.0
