fit_scenario,minute,error_c,error_rate_c_per_min,nearest_error_rule,nearest_delta_rule,label_kp,label_ki
2.0,225.0,0.7186811785592297,-0.011566406455450817,2.0,2.0,0.458551190657499,1.1612022034638792e-05
2.0,230.0,0.8190936682830205,0.02008249794475816,3.0,2.0,0.458551190657499,1.1612022034638792e-05
2.0,235.0,1.037510361295137,0.04368333860242331,3.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,240.0,1.2826765108216591,0.04903322990530441,3.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,245.0,1.1290285933959652,-0.030729583485138788,3.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,250.0,0.7742659958011053,-0.07095251951897197,3.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,255.0,0.22842864627093462,-0.10916746990603414,2.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,260.0,-0.29489665252932085,-0.1046650597600511,2.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,265.0,-0.6563481141746941,-0.07229029232907465,1.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,270.0,-0.573041201597178,0.01666138251550322,1.0,2.0,0.458551190657499,1.1612022034638792e-05
2.0,275.0,-0.32137441046574367,0.05033335822628686,2.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,280.0,0.08520917025997221,0.08131671614514317,2.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,285.0,0.5054096317739081,0.08404009230278717,2.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,290.0,0.9093235847038521,0.0807827905859888,3.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,295.0,1.2877080227247113,0.07567688760417184,3.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,300.0,1.40538955109243,0.02353630567354372,3.0,2.0,0.458551190657499,1.1612022034638792e-05
3.0,0.0,-1.494129725759759,0.0,1.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,5.0,-1.2202854805990242,0.05476884903214696,1.0,3.0,0.1978982209034326,0.0018695250991908091
3.0,10.0,-0.8252806281817904,0.07900097048344676,1.0,3.0,0.1978982209034326,0.0018695250991908091
3.0,15.0,-0.42672439419396824,0.07971124679756443,1.0,3.0,0.1978982209034326,0.0018695250991908091
3.0,20.0,-0.05183840725106492,0.07497719738858066,2.0,3.0,0.1978982209034326,0.0018695250991908091
3.0,25.0,0.273823584006184,0.06513239825144979,2.0,3.0,0.1978982209034326,0.0018695250991908091
3.0,30.0,0.6300711007233559,0.07124950334343438,2.0,3.0,0.1978982209034326,0.0018695250991908091
3.0,35.0,0.9624016799117285,0.06646611583767452,3.0,3.0,0.1978982209034326,0.0018695250991908091
3.0,40.0,1.2707398322219383,0.061667630462041954,3.0,3.0,0.1978982209034326,0.0018695250991908091
3.0,45.0,1.499590592903104,0.04577015213623312,3.0,3.0,0.1978982209034326,0.0018695250991908091
3.0,50.0,1.5785641301800446,0.015794707455388135,3.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,55.0,1.6119642506172127,0.0066800240874336225,3.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,60.0,1.500388228089193,-0.02231520450560396,3.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,65.0,1.3240682605976417,-0.03526399349831024,3.0,1.0,0.1978982209034326,0.0018695250991908091
3.0,70.0,1.0967722566178253,-0.04545920079596329,3.0,1.0,0.1978982209034326,0.0018695250991908091
3.0,75.0,0.8813061026848423,-0.04309323078659659,3.0,1.0,0.1978982209034326,0.0018695250991908091
3.0,80.0,0.687371538799745,-0.03878691277701947,2.0,1.0,0.1978982209034326,0.0018695250991908091
3.0,85.0,0.5012710064208328,-0.037220106475782444,2.0,1.0,0.1978982209034326,0.0018695250991908091
3.0,90.0,0.3675972957799516,-0.026734742128176236,2.0,1.0,0.1978982209034326,0.0018695250991908091
3.0,95.0,0.26878151081060153,-0.01976315699387001,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,100.0,0.20286594953758197,-0.013183112254603913,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,105.0,0.19799617390125945,-0.0009739551272645031,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,110.0,0.15292733538762704,-0.009013767702726484,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,115.0,0.1372931861610205,-0.0031268298453213106,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,120.0,0.12596663950267128,-0.00226530933166984,2.0,2.0,0.1978982209034326,0.0018695250991908091
